hash_id	1-10	2-15	2-20	2-3	2-5	3-3	4-25	FOREST	GRASSLAND	NA-R2	NA-R3	QR-R1	QR-R2	QR-R3	QR.R1	QR.R2	QR.R3	QR1-10	QR1-105	QR1-20	QR1-200	QR1-350	QR1-500	QR1-75	QR2	QR2-10	QR2-108	QR2-20	QR2-250	QR2-380	QR2-550	QR2-60	QR3	QR3-10	QR3-20	QR3-200	QR3-210	QR3-365	QR3-565	QR3-90	SC1-10	SC1-15	SC1-2	SC1-20	SC1-25	SC1-3	SC1-30	SC1-35	SC1-4	SC1-40	SC1-45	SC1-5	SC2-1	SC2-10	SC2-2	SC2-25	SC2-30	SC2-35A	SC2-35D	SC2-4	SC2-40	SC2-45	SC3-1	SC3-10	SC3-15	SC3-2	SC3-20	SC3-25	SC3-25star	SC3-3	SC3-30	SC3-35	SC3-4	SC3-40	SC3-45	SC3-5	SC3-50	SC4-1	SC4-10	SC4-15	SC4-2	SC4-20	SC4-25	SC4-3	SC4-30	SC4-35	SC4-4	SC4-40	SC4-45	SC4-5	SC4-50	VEG-STOCKPILE
e8a524e024cfebb795310da5dd143dfe	0	41779	0	0	0	15593	0	0	0	0	3295	3705	0	0	0	0	0	6076	0	8397	0	0	0	2765	0	4458	0	11813	0	0	0	5992	0	8018	10442	0	0	0	0	0	0	4803	2539	2144	0	0	0	6885	0	0	0	0	0	0	0	0	0	4815	0	0	0	6194	5844	0	10201	9537	7314	0	0	7509	6678	5175	0	0	0	0	0	3707	0	0	6886	0	0	7360	0	0	0	9855	0	0	6436	0
d1c636de702e89cb90f79f77d464f145	15265	18523	6461	6745	0	7531	11908	0	0	0	344	0	6562	0	7422	0	0	1692	0	2902	0	0	0	828	0	1513	0	0	0	0	0	372	0	1839	3496	0	0	0	0	0	4149	0	1544	0	0	0	0	0	0	0	2054	0	0	1486	1870	2194	1946	0	0	1205	849	0	3779	2046	4414	0	3362	2835	0	0	5202	0	0	2777	0	0	0	658	0	3040	3278	0	0	0	2437	0	0	4394	0	0	1035	0
d36191612446bb38da888b4ff7f75edf	0	0	0	0	0	0	0	0	0	0	0	0	25	0	10	0	0	0	0	0	185	0	0	0	0	0	1825	0	2346	102368	3287	0	0	48	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05bfbeb7e0af06247c66d0f98a821598	0	0	0	0	0	0	0	0	0	0	0	0	12631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2151	3643	6181	0	0	8769	4203	0	0	0	4321	4177	0	0	3529	8233	0	0	0	0	0	0	399	0	0	0	0	0	4119	0	0	6311	0	0	0	0	0	0	0	0	0	2935	5074	0	6947	0	0	0
711ab292cc6c41ae22dfe56643108cbe	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	60128	0	624	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c6c19d26508c2520d9b10a1e2f6a0da5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	248	112	528	0	57	0	380	0	1335	11545	490	0	76	0	0	0	0	5549	36377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ed0abf1f453dcd9f18797f0e771f7c0d	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2006	2608	1291	5341	5125	0	3718	0	0	0	0	0	2348	0	0	0	4017	0	0	0	0	0	0	2735	2740	0	1857	1984	0	2584	0	0	0	2158	0	0	0	0	407	0	2048	1338	0	0	1332	0	0
6f648f99f51817962fa235ff79d15908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3483	0	0	0	0	0	1492	0	1510	0	0	1832	1642	0	0	0	1181	0	1547	2810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19276	0	0	0	0	0	1905	0	0	0	6150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2394	2803	0	0	0	0	0	0	0	0	0	0	656	0
edc45eb3ccf44c949ccea779290de7ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1118	0	398	0	1412	643	556	653	1605	1088	762	1311	1910	501	459	447	717	486	1643	912	495	1080	860	654	842	608	826	885	1011	600	1212	787	615	992	893	878	2273	580	659	794	749	0	0	305	990	0	463	1009	336	790	841	0
71ca68278b8c56e6edb0a5a9f99d5f89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3981	0	0	817	0	0	0	0	0	0	2958	0	0	4181	0	0	0	0	0	0	0	0	0	0	0	0	0	1242	0	0	0	0	0	0	0	0	3349	0	0	4945	0	0
